dir,entry_bar,entry_price,sl,tp,exit_bar,result,r,setup
short,150,1.30224,1.30396,1.29804,151,Lose,-1.0,?
long,202,1.2984,1.29709,1.30161,203,Win,2.45,?
short,298,1.32149,1.32453,1.31402,303,Win,2.45,?
long,635,1.26267,1.26043,1.26817,650,Win,2.45,B
long,714,1.26578,1.26256,1.27369,726,Lose,-1.0,B
long,839,1.28056,1.27942,1.28336,840,Lose,-1.0,A
short,919,1.2725,1.27448,1.26766,920,Lose,-1.0,C
short,3128,1.33885,1.34138,1.33266,3129,Lose,-1.0,C
short,7576,1.33089,1.33638,1.31744,7580,Lose,-1.0,C
long,7790,1.37531,1.3701,1.38809,7807,Lose,-1.0,B
long,7853,1.36941,1.36608,1.37758,7857,Win,2.45,B
long,8035,1.38473,1.38197,1.3915,8041,Lose,-1.0,B
short,8149,1.38059,1.38369,1.373,8152,Win,2.45,C
long,8288,1.3539,1.34968,1.36423,8295,Lose,-1.0,A
long,8383,1.3463,1.34393,1.3521,8384,Lose,-1.0,A
long,8550,1.32725,1.32257,1.33873,8556,Win,2.45,A
long,8675,1.3368,1.33482,1.34166,8680,Win,2.45,A
long,8916,1.30303,1.29942,1.31189,8935,Win,2.45,A
long,9158,1.29293,1.29199,1.29523,9159,Lose,-1.0,A
short,9635,1.31581,1.32014,1.3052,9639,Lose,-1.0,C
short,9712,1.31399,1.31563,1.30996,9722,Win,2.45,C
short,9771,1.32715,1.32814,1.32471,9772,Lose,-1.0,C
long,9779,1.32496,1.32388,1.32759,9780,Win,2.45,A
long,10284,1.31445,1.31164,1.32134,10285,Lose,-1.0,A
short,10681,1.33531,1.33637,1.33273,10684,Win,2.45,C
short,10698,1.33322,1.33425,1.3307,10699,Win,2.45,C
long,10885,1.31108,1.30991,1.31396,10886,Lose,-1.0,A
short,10958,1.3135,1.31451,1.31101,10959,Win,2.45,C
long,11174,1.32288,1.32183,1.32546,11175,Lose,-1.0,A
short,11244,1.31495,1.31574,1.31303,11245,Lose,-1.0,C
long,15378,1.31896,1.31734,1.32292,15379,Lose,-1.0,C
long,16290,1.31735,1.31564,1.32155,16292,Lose,-1.0,A
long,16361,1.30653,1.30473,1.31093,16379,Lose,-1.0,A
short,16476,1.3042,1.30642,1.29876,16479,Lose,-1.0,C
short,16601,1.29681,1.29772,1.29458,16602,Lose,-1.0,C
long,16632,1.29501,1.2922,1.30188,16633,Lose,-1.0,A
long,17099,1.30622,1.30488,1.3095,17100,Lose,-1.0,A
long,17177,1.30443,1.3031,1.3077,17179,Lose,-1.0,A
long,17321,1.29976,1.29872,1.30231,17332,Win,2.45,A
long,17440,1.30958,1.3059,1.31859,17441,Lose,-1.0,A
short,17465,1.31538,1.31933,1.30569,17489,Win,2.45,C
long,17561,1.30903,1.3075,1.31278,17565,Lose,-1.0,A
short,17734,1.28999,1.29157,1.28611,17747,Win,2.45,C
short,17802,1.29225,1.29459,1.28651,17803,Lose,-1.0,C
short,18621,1.28825,1.28944,1.28534,18622,Lose,-1.0,C
long,26138,1.28321,1.28217,1.28577,26140,Lose,-1.0,A
short,26338,1.26594,1.26778,1.26145,26344,Win,2.45,C
short,26499,1.27211,1.27513,1.26471,26500,Lose,-1.0,C
short,26577,1.28111,1.284,1.27403,26590,Lose,-1.0,C
long,26854,1.24942,1.24811,1.25264,26855,Lose,-1.0,A
long,26984,1.2429,1.24064,1.24843,27005,Win,2.45,A
short,27029,1.24756,1.2496,1.24257,27030,Lose,-1.0,C
short,27118,1.25564,1.25643,1.2537,27119,Win,2.45,C
long,27310,1.24392,1.24221,1.24809,27315,Lose,-1.0,A
long,27733,1.21782,1.2168,1.22032,27743,Lose,-1.0,A
short,28022,1.18245,1.18503,1.17613,28039,Win,2.45,B
short,28090,1.16214,1.16357,1.15865,28092,Win,2.45,B
long,28166,1.15322,1.14917,1.16315,28167,Lose,-1.0,D
long,28312,1.12887,1.1269,1.1337,28329,Win,2.45,D
short,28403,1.14436,1.14881,1.13344,28411,Lose,-1.0,B
long,28624,1.13527,1.13311,1.14055,28628,Win,2.45,D
short,28674,1.14114,1.14325,1.13596,28681,Win,2.45,B
short,28841,1.12092,1.12244,1.11721,28853,Win,2.45,B
short,29055,1.06031,1.06405,1.05116,29078,Lose,-1.0,B
short,29218,1.09634,1.09823,1.09171,29221,Lose,-1.0,B
short,29725,1.07699,1.07906,1.07192,29728,Lose,-1.0,B
short,29933,1.12308,1.12728,1.11279,29942,Lose,-1.0,B
long,30135,1.13393,1.13334,1.13536,30136,Win,2.45,D
long,32277,1.12857,1.12231,1.1439,32296,Lose,-1.0,C
long,32385,1.11355,1.11074,1.12042,32393,Win,2.45,D
long,32606,1.12414,1.12331,1.12616,32607,Win,2.45,C
long,32727,1.13637,1.13475,1.14034,32729,Win,2.45,C
long,32757,1.13538,1.13427,1.13811,32769,Lose,-1.0,D
short,35604,1.14088,1.14192,1.13832,35608,Win,2.45,B
short,35665,1.13825,1.13962,1.13488,35666,Lose,-1.0,B
long,36296,1.13713,1.13625,1.13929,36306,Lose,-1.0,D
short,36361,1.13312,1.13381,1.13143,36362,Lose,-1.0,B
short,36461,1.12277,1.12364,1.12065,36469,Win,2.45,B
short,36870,1.1286,1.13003,1.12509,36871,Win,2.45,B
long,36886,1.12198,1.1199,1.12707,36887,Lose,-1.0,D
